model,model_id,prompt_id,category,priority,status,auto_pass,overall_score,language_score,correctness_score,instruction_following_score,conciseness_score,tts_suitability_score,tool_accuracy,valid_json,gpu_index,gpu_name,load_mode,dtype,device,load_seconds,first_token_seconds,generate_seconds,wall_seconds,prompt_tokens,completion_tokens,total_tokens,tokens_per_second,response_chars,chars_per_second,peak_cpu_percent,avg_cpu_percent,peak_ram_mb,avg_ram_mb,peak_sys_ram_mb,peak_sys_ram_percent,peak_gpu_util_percent,avg_gpu_util_percent,peak_vram_mb,avg_vram_mb,model_vram_mb,error,response_text
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,J001,tool_calling,critical,ok,False,2.6,5,1,2,5,5,0.0,,0,Tesla T4,bf16,bfloat16,cuda,138.721,2.2621,4.5405,229.693,654,40,694,8.81,99,21.8,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,أنا لا أستطيع التواصل مع أشخاص آخرين مثل محمد. هل ترغب أن أُنشئ مذكرة أو حدث في جدولك بدلًا من ذلك؟
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,J002,tool_calling,critical,ok,True,5.0,5,5,5,5,5,1.0,,0,Tesla T4,bf16,bfloat16,cuda,138.721,2.2692,4.6245,229.693,650,37,687,8.001,91,19.7,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,أنا لا أستطيع التواصل مع أشخاص خارج النظام. هل ترغب أن أُساعدك في تخطيط شيء أو إنشاء تذكير؟
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,J003,tool_calling,critical,ok,False,2.6,5,1,2,5,5,0.0,,0,Tesla T4,bf16,bfloat16,cuda,138.721,2.0735,3.5497,229.693,622,26,648,7.325,99,27.9,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,"{""tool"": ""set_device_temperature"", ""arguments"": {""device"": ""air conditioner"", ""temperature_c"": 20}}"
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,J005,tool_calling,critical,ok,True,5.0,5,5,5,5,5,1.0,,0,Tesla T4,bf16,bfloat16,cuda,138.721,2.2763,3.7509,229.693,642,26,668,6.932,79,21.1,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,لا يمكن حجز الاجتماع الآن بسبب مشكلة في خدمة الجدول. هل ترغب أن أحاول مرة أخرى؟
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,K001,structured_output,critical,ok,True,5.0,5,5,5,5,5,,True,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.7888,3.688,229.693,205,27,232,7.321,54,14.6,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,,"{
  ""name"": ""كريم"",
  ""age"": 29,
  ""city"": ""القاهرة""
}"
Qwen3-8B,Qwen/Qwen3-8B,A001,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.1849,2.2434,425.647,173,8,181,3.566,18,8.0,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,النهارده عمله إيه؟
Qwen3-8B,Qwen/Qwen3-8B,A002,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2011,7.1654,425.647,181,59,240,8.234,182,25.4,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,الـ cloud computing هو تخزين البيانات والبرامج في أجهزة كمبيوتر بعيدة وتشغيلها من خلال الإنترنت. ببساطة، هو استخدام أجهزة كمبيوتر غير محسوبة في مكان آخر لتشغيل برامجك وتخزين بياناتك.
Qwen3-8B,Qwen/Qwen3-8B,A005,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2082,3.9813,425.647,180,27,207,6.782,78,19.6,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,RAM هي ذاكرة الوصول العشوائي، وVRAM هي ذاكرة الوصول العشوائي الخاصة بالرسومات.
Qwen3-8B,Qwen/Qwen3-8B,C001,code_switching,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2244,6.2775,425.647,184,47,231,7.487,134,21.3,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,تأكد من أن الخادم يعمل بشكل صحيح وتحقق من إعدادات الوقت المسموح به في الـ API. إذا كان الخادم يعمل، تحقق من تكوينات الشبكة أو الـ DNS.
Qwen3-8B,Qwen/Qwen3-8B,C002,code_switching,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2229,4.6038,425.647,178,33,211,7.168,97,21.1,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,الفرق بيكون في الدفع: pay-as-you-go تدفع ما تستخدمه، وmonthly subscription تدفع مبلغ ثابت شهريًا.
Qwen3-8B,Qwen/Qwen3-8B,D001,asr_noise,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2429,3.3369,425.647,188,16,204,4.795,34,10.2,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,معادك بكره الساعة 10؟ أم الساعة 9؟
Qwen3-8B,Qwen/Qwen3-8B,D002,asr_noise,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2389,3.5778,425.647,180,23,203,6.428,38,10.6,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,الوضعية حاليًا 20°م، سأضبطها إلى 24°م.
Qwen3-8B,Qwen/Qwen3-8B,D003,asr_noise,high,ok,True,5.0,5,5,5,5,5,1.0,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2353,3.5814,425.647,172,23,195,6.422,69,19.3,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,الاجتماع الخميس تلاته أحمد. هل ترغب في إضافة تفاصيل أخرى عن الاجتماع؟
Qwen3-8B,Qwen/Qwen3-8B,D005,asr_noise,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2446,4.9603,425.647,177,33,210,6.653,69,13.9,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,أنا لا أتذكر أي شيء عن يوم ٢٥ الساعة ٧. هل ترغب في تذكيرني بشيء معين؟
Qwen3-8B,Qwen/Qwen3-8B,E001,instruction_following,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2558,4.5127,425.647,180,32,212,7.091,88,19.5,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,تقليل حجم البيانات بطريقة تسمح بتحسين الأداء. تستخدم في تقليل الضوضاء وتحسين جودة الصوت.
Qwen3-8B,Qwen/Qwen3-8B,E003,instruction_following,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2566,2.1815,425.647,176,9,185,4.126,17,7.8,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,أين تطير الطائرة؟
Qwen3-8B,Qwen/Qwen3-8B,E004,instruction_following,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.5868,4.4388,425.647,203,28,231,6.308,53,11.9,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,نعم. 16 جيجا VRAM كافية لتشغيل موديل 14B بكمية 4-bit.
Qwen3-8B,Qwen/Qwen3-8B,G001,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.6052,2.6473,425.647,195,8,203,3.022,14,5.3,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,أنت إسمك كريم.
Qwen3-8B,Qwen/Qwen3-8B,G002,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.6197,1.9335,425.647,219,3,222,1.552,8,4.1,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,مع أحمد.
Qwen3-8B,Qwen/Qwen3-8B,G003,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.6217,2.0388,425.647,215,4,219,1.962,7,3.4,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,للمحمد.
Qwen3-8B,Qwen/Qwen3-8B,J001,tool_calling,critical,ok,False,2.6,5,1,2,5,5,0.0,,0,Tesla T4,int4,bfloat16,cuda,313.722,4.3608,8.4521,425.647,658,34,692,4.023,84,9.9,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,أنا أتذكر أنك ترغب في أكلم محمد بكرة الساعة خمسة. هل ترغب في إنشاء تذكير لهذا الوقت؟
Qwen3-8B,Qwen/Qwen3-8B,J002,tool_calling,critical,ok,True,5.0,5,5,5,5,5,1.0,,0,Tesla T4,int4,bfloat16,cuda,313.722,4.3876,8.1176,425.647,654,37,691,4.558,94,11.6,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,أنا أتذكر أنك ترغب في أكلم محمد بكرة. هل ترغب في أن أقوم بإعداد تنبيه للفصل مع محمد في الصباح؟
Qwen3-8B,Qwen/Qwen3-8B,J003,tool_calling,critical,ok,False,2.6,5,1,2,5,5,0.0,,0,Tesla T4,int4,bfloat16,cuda,313.722,4.0437,5.8496,425.647,626,17,643,2.906,34,5.8,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,سأضبط درجة حرارة التكييف على 20°م.
Qwen3-8B,Qwen/Qwen3-8B,J005,tool_calling,critical,ok,True,5.0,5,5,5,5,5,1.0,,0,Tesla T4,int4,bfloat16,cuda,313.722,4.4518,8.4004,425.647,646,39,685,4.643,108,12.9,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,الأسف، لا يمكنني حجز الاجتماع في الوقت الحالي بسبب مشكلة في خدمة التقويم. هل ترغب في محاولة مرة أخرى لاحقًا؟
Qwen3-8B,Qwen/Qwen3-8B,K001,structured_output,critical,ok,False,2.88,5,1,1,5,5,,True,0,Tesla T4,int4,bfloat16,cuda,313.722,1.6527,4.3742,425.647,209,24,233,5.487,48,11.0,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,,"{""اسم"": ""كريم"", ""عمر"": 29, ""المدينة"": ""القاهرة""}"
Gemma3-4B-IT,google/gemma-3-4b-it,,,,error,False,,,,,,,,,,,,,cpu,,,,,,,,,,,,,,,,,,,,,,"Gated model google/gemma-3-4b-it requires HF auth. Accept the license on Hugging Face, then set HF_TOKEN (Kaggle Secrets / Colab Secrets / env) and re-run.",
Gemma3-12B-IT,google/gemma-3-12b-it,,,,error,False,,,,,,,,,,,,,cpu,,,,,,,,,,,,,,,,,,,,,,"Gated model google/gemma-3-12b-it requires HF auth. Accept the license on Hugging Face, then set HF_TOKEN (Kaggle Secrets / Colab Secrets / env) and re-run.",
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,A001,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.2963,1.9505,380.224,199,9,208,4.614,30,15.4,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,تمام، الحمد لله. عامل إيه إنت؟
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,A002,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.2909,4.2739,380.224,208,45,253,10.529,194,45.4,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,ببساطة، يعني إيه cloud computing بالمصري، هو إنك بتستخدم خدمات موجودة على الإنترنت بدل ما تستخدم جهاز الكمبيوتر أو الهاتف بتاعك بس. زي مثلاً إنك تخزن ملفاتك على الإنترنت بدل ما تخزنها على جهازك.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,A005,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.2981,3.4362,380.224,207,32,239,9.313,188,54.7,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,RAM هي ذاكرة الوصول العشوائي العامة التي يستخدمها الكمبيوتر لتخزين البيانات المؤقتة، بينما VRAM هي ذاكرة الفيديو المخصصة لتخزين الصور والفيديوهات عالية الجودة التي يحتاجها المعالج الرسومي.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,C001,code_switching,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3138,3.4065,380.224,210,31,241,9.1,124,36.4,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,أول حاجة، اتأكد إن الاتصال بالإنترنت كويس. بعد كده، جرب تستخدم متصفح أو جهاز تاني. لو المشكلة مستمرة، اتواصل مع الدعم الفني.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,C002,code_switching,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3258,3.9363,380.224,211,39,250,9.908,165,41.9,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,نظام pay-as-you-go هو نظام تدفع فيه مقابل كل دقيقة أو ميجابايت تستخدمها، بينما الاشتراك الشهري هو نظام تدفع فيه مبلغًا ثابتًا كل شهر مقابل استخدام غير محدود أو محدد.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,D001,asr_noise,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3255,1.9097,380.224,208,8,216,4.189,33,17.3,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,تمام، بكره الساعة تسعة عندك معاد.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,D002,asr_noise,critical,ok,False,3.06,5,1,2,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3241,1.7813,380.224,202,6,208,3.368,29,16.3,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,التكييف على عشرين درجة مئوية.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,D003,asr_noise,high,ok,False,3.35,5,1,2,5,5,1.0,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3248,1.7818,380.224,201,6,207,3.367,32,18.0,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,اجتماع الخميس الساعة ثلاثة أحمد.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,D005,asr_noise,high,ok,False,3.06,5,1,2,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.331,2.5761,380.224,204,18,222,6.987,46,17.9,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,تمام، هنسجل في الميعاد. الساعة 7 مساءً يوم 25.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,E001,instruction_following,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3396,2.9361,380.224,207,23,230,7.834,99,33.7,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,تقليل quantization بيساعد في تقليل حجم البيانات، وده بيخليها تستهلك مساحة تخزين أقل وسرعة نقل أعلى.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,E003,instruction_following,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3383,2.0571,380.224,202,10,212,4.861,45,21.9,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,ممكن تقول لي ميعاد السفر والمكان اللي رايحله؟
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,E004,instruction_following,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3709,3.1532,380.224,221,26,247,8.246,65,20.6,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,لأ، مش كفاية. 16 جيجا VRAM مش كفاية لتشغيل موديل 14B بكمية 4-bit.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,G001,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.372,1.5719,380.224,216,2,218,1.272,5,3.2,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,كريم.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,G002,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3928,1.7215,380.224,236,4,240,2.324,17,9.9,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,الاجتماع مع أحمد.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,G003,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3972,1.795,380.224,236,5,241,2.786,14,7.8,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,هتبعتها لمحمد.
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,J001,tool_calling,critical,ok,False,2.6,5,1,2,5,5,0.0,,0,Tesla T4,bf16,bfloat16,cuda,278.817,6.9069,12.735,380.224,1179,67,1246,5.261,138,10.8,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,,"{""tool"": ""create_reminder"", ""arguments"": {""title"": ""مكالمة مع محمد"", ""datetime"": ""2026-07-22T05:00:00+03:00"", ""timezone"": ""Africa/Cairo""}}"
