model,model_id,prompt_id,category,priority,status,auto_pass,overall_score,language_score,correctness_score,instruction_following_score,conciseness_score,tts_suitability_score,tool_accuracy,valid_json,gpu_index,gpu_name,load_mode,dtype,device,load_seconds,first_token_seconds,generate_seconds,wall_seconds,prompt_tokens,completion_tokens,total_tokens,tokens_per_second,response_chars,chars_per_second,peak_cpu_percent,avg_cpu_percent,peak_ram_mb,avg_ram_mb,peak_sys_ram_mb,peak_sys_ram_percent,peak_gpu_util_percent,avg_gpu_util_percent,peak_vram_mb,avg_vram_mb,model_vram_mb,error
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,E003,instruction_following,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.5899,1.165,229.693,172,10,182,8.584,15,12.9,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,E004,instruction_following,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.749,10.7889,229.693,199,183,382,16.962,392,36.3,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,G001,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.6067,1.1567,229.693,191,7,198,6.052,14,12.1,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,G002,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.7797,1.061,229.693,215,5,220,4.712,17,16.0,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,G003,multi_turn_memory,critical,ok,False,2.88,5,1,1,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.7715,1.0418,229.693,211,5,216,4.799,8,7.7,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,J001,tool_calling,critical,ok,False,2.6,5,1,2,5,5,0.0,,0,Tesla T4,bf16,bfloat16,cuda,138.721,2.2621,4.5405,229.693,654,40,694,8.81,99,21.8,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,J002,tool_calling,critical,ok,True,5.0,5,5,5,5,5,1.0,,0,Tesla T4,bf16,bfloat16,cuda,138.721,2.2692,4.6245,229.693,650,37,687,8.001,91,19.7,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,J003,tool_calling,critical,ok,False,2.6,5,1,2,5,5,0.0,,0,Tesla T4,bf16,bfloat16,cuda,138.721,2.0735,3.5497,229.693,622,26,648,7.325,99,27.9,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,J005,tool_calling,critical,ok,True,5.0,5,5,5,5,5,1.0,,0,Tesla T4,bf16,bfloat16,cuda,138.721,2.2763,3.7509,229.693,642,26,668,6.932,79,21.1,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,K001,structured_output,critical,ok,True,5.0,5,5,5,5,5,,True,0,Tesla T4,bf16,bfloat16,cuda,138.721,0.7888,3.688,229.693,205,27,232,7.321,54,14.6,139.8,58.7,6116.8,1724.9,4027.7,33.7,100.0,28.3,8758.2,4422.3,8206.0,
Qwen3-8B,Qwen/Qwen3-8B,A001,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.1849,2.2434,425.647,173,8,181,3.566,18,8.0,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,A002,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2011,7.1654,425.647,181,59,240,8.234,182,25.4,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,A005,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2082,3.9813,425.647,180,27,207,6.782,78,19.6,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,C001,code_switching,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2244,6.2775,425.647,184,47,231,7.487,134,21.3,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,C002,code_switching,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2229,4.6038,425.647,178,33,211,7.168,97,21.1,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,D001,asr_noise,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2429,3.3369,425.647,188,16,204,4.795,34,10.2,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,D002,asr_noise,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2389,3.5778,425.647,180,23,203,6.428,38,10.6,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,D003,asr_noise,high,ok,True,5.0,5,5,5,5,5,1.0,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2353,3.5814,425.647,172,23,195,6.422,69,19.3,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,D005,asr_noise,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2446,4.9603,425.647,177,33,210,6.653,69,13.9,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,E001,instruction_following,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2558,4.5127,425.647,180,32,212,7.091,88,19.5,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,E003,instruction_following,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.2566,2.1815,425.647,176,9,185,4.126,17,7.8,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,E004,instruction_following,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.5868,4.4388,425.647,203,28,231,6.308,53,11.9,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,G001,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.6052,2.6473,425.647,195,8,203,3.022,14,5.3,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,G002,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.6197,1.9335,425.647,219,3,222,1.552,8,4.1,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,G003,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,int4,bfloat16,cuda,313.722,1.6217,2.0388,425.647,215,4,219,1.962,7,3.4,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,J001,tool_calling,critical,ok,False,2.6,5,1,2,5,5,0.0,,0,Tesla T4,int4,bfloat16,cuda,313.722,4.3608,8.4521,425.647,658,34,692,4.023,84,9.9,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,J002,tool_calling,critical,ok,True,5.0,5,5,5,5,5,1.0,,0,Tesla T4,int4,bfloat16,cuda,313.722,4.3876,8.1176,425.647,654,37,691,4.558,94,11.6,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,J003,tool_calling,critical,ok,False,2.6,5,1,2,5,5,0.0,,0,Tesla T4,int4,bfloat16,cuda,313.722,4.0437,5.8496,425.647,626,17,643,2.906,34,5.8,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,J005,tool_calling,critical,ok,True,5.0,5,5,5,5,5,1.0,,0,Tesla T4,int4,bfloat16,cuda,313.722,4.4518,8.4004,425.647,646,39,685,4.643,108,12.9,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Qwen3-8B,Qwen/Qwen3-8B,K001,structured_output,critical,ok,False,2.88,5,1,1,5,5,,True,0,Tesla T4,int4,bfloat16,cuda,313.722,1.6527,4.3742,425.647,209,24,233,5.487,48,11.0,142.2,51.9,6077.5,1979.0,4352.3,36.2,100.0,18.1,6900.2,3023.7,6348.0,
Gemma3-4B-IT,google/gemma-3-4b-it,,,,error,False,,,,,,,,,,,,,cpu,,,,,,,,,,,,,,,,,,,,,,"Gated model google/gemma-3-4b-it requires HF auth. Accept the license on Hugging Face, then set HF_TOKEN (Kaggle Secrets / Colab Secrets / env) and re-run."
Gemma3-12B-IT,google/gemma-3-12b-it,,,,error,False,,,,,,,,,,,,,cpu,,,,,,,,,,,,,,,,,,,,,,"Gated model google/gemma-3-12b-it requires HF auth. Accept the license on Hugging Face, then set HF_TOKEN (Kaggle Secrets / Colab Secrets / env) and re-run."
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,A001,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.2963,1.9505,380.224,199,9,208,4.614,30,15.4,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,A002,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.2909,4.2739,380.224,208,45,253,10.529,194,45.4,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,A005,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.2981,3.4362,380.224,207,32,239,9.313,188,54.7,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,C001,code_switching,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3138,3.4065,380.224,210,31,241,9.1,124,36.4,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,C002,code_switching,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3258,3.9363,380.224,211,39,250,9.908,165,41.9,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,D001,asr_noise,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3255,1.9097,380.224,208,8,216,4.189,33,17.3,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,D002,asr_noise,critical,ok,False,3.06,5,1,2,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3241,1.7813,380.224,202,6,208,3.368,29,16.3,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,D003,asr_noise,high,ok,False,3.35,5,1,2,5,5,1.0,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3248,1.7818,380.224,201,6,207,3.367,32,18.0,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,D005,asr_noise,high,ok,False,3.06,5,1,2,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.331,2.5761,380.224,204,18,222,6.987,46,17.9,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,E001,instruction_following,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3396,2.9361,380.224,207,23,230,7.834,99,33.7,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,E003,instruction_following,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3383,2.0571,380.224,202,10,212,4.861,45,21.9,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,E004,instruction_following,high,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3709,3.1532,380.224,221,26,247,8.246,65,20.6,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,G001,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.372,1.5719,380.224,216,2,218,1.272,5,3.2,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,G002,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3928,1.7215,380.224,236,4,240,2.324,17,9.9,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,G003,multi_turn_memory,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.3972,1.795,380.224,236,5,241,2.786,14,7.8,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,J001,tool_calling,critical,ok,False,2.6,5,1,2,5,5,0.0,,0,Tesla T4,bf16,bfloat16,cuda,278.817,6.9069,12.735,380.224,1179,67,1246,5.261,138,10.8,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,J002,tool_calling,critical,ok,False,2.45,5,1,1,5,5,0.0,,0,Tesla T4,bf16,bfloat16,cuda,278.817,7.0505,12.8959,380.224,1177,67,1244,5.195,138,10.7,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,J003,tool_calling,critical,ok,False,2.6,5,1,2,5,5,0.0,,0,Tesla T4,bf16,bfloat16,cuda,278.817,6.7826,9.5859,380.224,1139,32,1171,3.338,89,9.3,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,J005,tool_calling,critical,ok,False,3.35,5,1,2,5,5,1.0,,0,Tesla T4,bf16,bfloat16,cuda,278.817,7.2163,8.5881,380.224,1174,15,1189,1.747,64,7.5,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,K001,structured_output,critical,ok,True,4.47,5,4,4,5,5,,True,0,Tesla T4,bf16,bfloat16,cuda,278.817,1.4564,3.7948,380.224,241,31,272,8.169,63,16.6,139.6,53.4,6073.8,1754.4,4146.1,34.6,100.0,23.5,15280.2,6074.2,14728.0,
Jais-2-8B,inceptionai/Jais-2-8B-Chat,,,,error,False,,,,,,,,,,,,,cpu,,,,,,,,,,,,,,,,,,,,,,"Gated model inceptionai/Jais-2-8B-Chat requires HF auth. Accept the license on Hugging Face, then set HF_TOKEN (Kaggle Secrets / Colab Secrets / env) and re-run."
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,A001,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.4991,2.1908,444.245,175,24,199,10.955,72,32.9,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,A002,egyptian_arabic,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.5059,3.9796,444.245,185,51,236,12.815,153,38.4,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,A005,egyptian_arabic,critical,ok,False,2.08,5,1,2,1,2,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.5074,18.4424,444.245,182,236,418,12.797,651,35.3,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,C001,code_switching,critical,ok,False,2.08,5,1,2,1,2,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.5245,17.958,444.245,187,246,433,13.699,782,43.5,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,C002,code_switching,critical,ok,False,2.08,5,1,2,1,2,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.5335,18.4733,444.245,184,247,431,13.371,729,39.5,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,D001,asr_noise,critical,ok,False,2.08,5,1,2,1,2,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.545,17.7808,444.245,185,234,419,13.16,593,33.4,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,D002,asr_noise,critical,ok,False,1.9,5,1,1,1,2,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.5485,18.2132,444.245,181,240,421,13.177,574,31.5,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,D003,asr_noise,high,ok,False,2.5,5,1,2,1,2,1.0,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.5546,17.7082,444.245,177,218,395,12.311,655,37.0,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,D005,asr_noise,high,ok,False,3.06,5,1,2,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.5544,1.5211,444.245,178,13,191,8.547,27,17.8,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,E001,instruction_following,critical,ok,True,5.0,5,5,5,5,5,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.5591,3.1518,444.245,180,38,218,12.057,129,40.9,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,E003,instruction_following,high,ok,False,2.08,5,1,2,1,2,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.5631,18.4208,444.245,178,248,426,13.463,615,33.4,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,E004,instruction_following,high,ok,False,2.08,5,1,2,1,2,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.7089,17.7856,444.245,204,251,455,14.113,600,33.7,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,G001,multi_turn_memory,critical,ok,False,2.08,5,1,2,1,2,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.6898,18.5474,444.245,196,250,446,13.479,693,37.4,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,G002,multi_turn_memory,critical,ok,False,2.08,5,1,2,1,2,,,0,Tesla T4,bf16,bfloat16,cuda,165.628,0.7341,18.0522,444.245,218,238,456,13.184,715,39.6,138.2,73.5,6163.4,1836.1,4518.4,37.5,100.0,41.4,8394.2,5669.1,7842.0,
